execno,acc,mse,exec_time
0.0,0.9,1.672,18.805553436279297
0.0,0.894,1.798,18.792268276214603
0.0,0.8959999999999999,2.043,18.502879619598392
0.0,0.904,1.7890000000000001,18.66714692115784
0.0,0.8959999999999999,1.681,19.15032172203064
0.0,0.905,1.876,18.158119440078735
0.0,0.919,1.4880000000000002,18.98002934455872
0.0,0.903,1.734,20.435328483581547
0.0,0.9,1.805,18.77515769004821
0.0,0.9,1.7169999999999999,18.341960668563843
0.0,0.909,1.821,19.554587364196774
0.0,0.9179999999999999,1.2670000000000001,19.02862882614136
0.0,0.916,1.716,18.58919477462769
0.0,0.914,1.739,18.435077905654907
0.0,0.905,1.445,18.28359460830689
0.0,0.917,1.3780000000000001,18.84294986724853
0.0,0.92,1.579,18.667705059051517
0.0,0.91,1.465,18.72700810432434
0.0,0.911,1.354,18.626747846603394
0.0,0.91,1.6869999999999998,18.59317946434021
0.0,0.915,1.601,18.01345729827881
0.0,0.899,1.7369999999999999,18.43662524223328
0.0,0.909,1.4240000000000002,18.117274761199948
0.0,0.914,1.49,18.72485446929932
0.0,0.913,1.716,19.977867364883426
0.0,0.909,1.526,18.754363298416138
0.0,0.92,1.521,20.843833208084106
0.0,0.912,1.632,20.26590371131897
0.0,0.921,1.347,18.43507194519043
0.0,0.9109999999999999,1.6380000000000001,18.70077896118164
0.0,0.912,1.476,19.172617197036747
0.0,0.9059999999999999,1.806,18.838208436965946
0.0,0.908,1.609,19.19282841682434
0.0,0.907,1.393,18.612494468688965
0.0,0.912,1.4380000000000002,20.04393196105957
0.0,0.922,1.5019999999999998,19.7699453830719
0.0,0.919,1.496,18.536447525024414
0.0,0.9109999999999999,1.547,19.535902500152584
0.0,0.899,1.873,19.91643977165221
0.0,0.905,1.4780000000000002,19.613706111907963
0.0,0.899,2.017,18.712200164794922
0.0,0.9179999999999999,1.501,19.222378492355347
0.0,0.919,1.508,20.979363441467285
0.0,0.907,1.345,20.884431362152103
0.0,0.908,1.6130000000000002,20.265873432159427
0.0,0.9129999999999999,1.4269999999999998,20.529343128204342
0.0,0.903,1.724,20.390682220458984
